DATE,DGS10,DGS2,ratio,ratio average,sinal
2018-08-23,2.82,2.61,0.9255319148936171,0.6560457763589319,1
2018-08-24,2.82,2.63,0.9326241134751774,0.6569236828137304,1
2018-08-27,2.85,2.67,0.9368421052631578,0.6577603299872197,1
2018-08-28,2.88,2.67,0.9270833333333334,0.6585826495201282,1
2018-08-29,2.89,2.67,0.9238754325259515,0.6594112921049254,1
2018-08-30,2.86,2.64,0.9230769230769231,0.6602447877232311,1
2018-08-31,2.86,2.62,0.9160839160839161,0.6610833249821506,1
2018-09-04,2.9,2.66,0.9172413793103449,0.6619178077407714,1
2018-09-05,2.9,2.66,0.9172413793103449,0.6627974517897145,1
2018-09-06,2.88,2.64,0.9166666666666667,0.6636697461620089,1
2018-09-07,2.94,2.71,0.9217687074829932,0.6645443394775961,1
2018-09-10,2.94,2.73,0.9285714285714286,0.6654553745503078,1
2018-09-11,2.98,2.76,0.9261744966442952,0.6663672473531203,1
2018-09-12,2.97,2.74,0.9225589225589226,0.6672875097069086,1
2018-09-13,2.97,2.76,0.9292929292929292,0.6682402132125531,1
2018-09-14,2.99,2.78,0.9297658862876252,0.669234247909105,1
2018-09-17,2.99,2.78,0.9297658862876252,0.6701878973287392,1
2018-09-18,3.05,2.81,0.9213114754098362,0.6711011085148529,1
2018-09-19,3.08,2.81,0.9123376623376623,0.6719908725969248,1
2018-09-20,3.07,2.81,0.9153094462540717,0.6728696842605173,1
2018-09-21,3.07,2.81,0.9153094462540717,0.6737309779996511,1
2018-09-24,3.08,2.83,0.9188311688311689,0.6746180230533629,1
2018-09-25,3.1,2.83,0.9129032258064516,0.6754878546622084,1
2018-09-26,3.06,2.83,0.9248366013071896,0.6763759894032844,1
2018-09-27,3.06,2.83,0.9248366013071896,0.6772702485931599,1
2018-09-28,3.05,2.81,0.9213114754098362,0.6781769741080822,1
2018-10-01,3.09,2.82,0.912621359223301,0.6790397168265287,1
2018-10-02,3.05,2.82,0.9245901639344263,0.679907302062373,1
2018-10-03,3.15,2.85,0.9047619047619048,0.6807464116707135,1
2018-10-04,3.19,2.87,0.8996865203761756,0.6815574126184425,1
2018-10-05,3.23,2.88,0.891640866873065,0.6823578372093315,1
2018-10-09,3.21,2.88,0.897196261682243,0.6831926921604417,1
2018-10-10,3.22,2.88,0.8944099378881987,0.6839984611887603,1
2018-10-11,3.14,2.85,0.9076433121019108,0.6848416807738581,1
2018-10-12,3.15,2.85,0.9047619047619048,0.6856797760119533,1
2018-10-15,3.16,2.85,0.9018987341772152,0.6865502401469745,1
2018-10-16,3.16,2.87,0.9082278481012658,0.6874514416058888,1
2018-10-17,3.19,2.89,0.9059561128526646,0.6883262109744513,1
2018-10-18,3.17,2.87,0.9053627760252366,0.6892164819810473,1
2018-10-19,3.2,2.92,0.9125,0.6900869365265018,1
2018-10-22,3.2,2.92,0.9125,0.6909464192851225,1
2018-10-23,3.17,2.89,0.9116719242902209,0.69182061059133,1
2018-10-24,3.1,2.84,0.9161290322580644,0.6926811172434167,1
2018-10-25,3.14,2.86,0.9108280254777069,0.6935418794396235,1
2018-10-26,3.08,2.81,0.9123376623376623,0.6944260142237584,1
2018-10-29,3.08,2.81,0.9123376623376623,0.6953259583656379,1
2018-10-30,3.12,2.84,0.9102564102564101,0.6962116885774551,1
2018-10-31,3.15,2.87,0.9111111111111112,0.6971268069745408,1
2018-11-01,3.14,2.84,0.9044585987261146,0.6980406965476836,1
2018-11-02,3.22,2.91,0.9037267080745341,0.6989580400737229,1
2018-11-05,3.2,2.91,0.909375,0.6998829353251195,1
2018-11-06,3.22,2.93,0.9099378881987578,0.7008066362381289,1
2018-11-07,3.22,2.96,0.9192546583850931,0.7017196136400055,1
2018-11-08,3.24,2.98,0.9197530864197531,0.7026895545954537,1
2018-11-09,3.19,2.94,0.9216300940438872,0.7036770008300532,1
2018-11-13,3.14,2.89,0.9203821656050956,0.7046209041747162,1
2018-11-14,3.12,2.86,0.9166666666666666,0.7055394393017717,1
2018-11-15,3.11,2.86,0.9196141479099679,0.7064777666966905,1
2018-11-16,3.08,2.81,0.9123376623376623,0.7073941450781346,1
2018-11-19,3.06,2.79,0.9117647058823529,0.7083031445753691,1
2018-11-20,3.06,2.79,0.9117647058823529,0.7091996353605245,1
2018-11-21,3.06,2.81,0.9183006535947712,0.7101098297413072,1
2018-11-23,3.05,2.81,0.9213114754098362,0.711003300149754,1
2018-11-26,3.07,2.84,0.9250814332247557,0.7119043104738306,1
2018-11-27,3.06,2.83,0.9248366013071896,0.7127970871247208,1
2018-11-28,3.06,2.81,0.9183006535947712,0.7136858623449538,1
2018-11-29,3.03,2.81,0.9273927392739275,0.7146039389627422,1
2018-11-30,3.01,2.8,0.9302325581395349,0.7155337918341234,1
2018-12-03,2.98,2.83,0.9496644295302014,0.7165081206931836,1
2018-12-04,2.91,2.8,0.9621993127147765,0.7174869126240526,1
2018-12-06,2.87,2.75,0.9581881533101045,0.718466050436949,1
2018-12-07,2.85,2.72,0.9543859649122808,0.7194346514266026,1
2018-12-10,2.85,2.72,0.9543859649122808,0.7204100900230938,1
2018-12-11,2.89,2.78,0.9619377162629756,0.7214027913665509,1
2018-12-12,2.91,2.77,0.9518900343642611,0.7223828766561631,1
2018-12-13,2.91,2.75,0.9450171821305842,0.7233293626333274,1
2018-12-14,2.89,2.73,0.944636678200692,0.7242186359897287,1
2018-12-17,2.86,2.7,0.9440559440559442,0.7251144401855328,1
2018-12-18,2.82,2.65,0.9397163120567376,0.726009257425031,1
2018-12-19,2.77,2.63,0.9494584837545126,0.7269317964397841,1
2018-12-20,2.79,2.67,0.9569892473118279,0.7278730122884934,1
2018-12-21,2.79,2.63,0.9426523297491038,0.7288092973401484,1
2018-12-24,2.74,2.55,0.9306569343065693,0.7297137484636635,1
2018-12-26,2.81,2.61,0.9288256227758006,0.7306145369641172,1
2018-12-27,2.77,2.56,0.924187725631769,0.7314668034659643,1
2018-12-28,2.72,2.52,0.926470588235294,0.7323157605786899,1
2018-12-31,2.69,2.48,0.9219330855018587,0.7331797070709787,1
2019-01-02,2.66,2.5,0.9398496240601504,0.7340798144823644,1
2019-01-03,2.56,2.39,0.93359375,0.7349510836150174,1
2019-01-04,2.67,2.5,0.9363295880149813,0.7358156127097466,1
2019-01-07,2.7,2.53,0.9370370370370369,0.7367023450116688,1
2019-01-08,2.73,2.58,0.9450549450549451,0.7375841904389688,1
2019-01-09,2.74,2.56,0.9343065693430657,0.7384359968549657,1
2019-01-10,2.74,2.56,0.9343065693430657,0.7393046099936519,1
2019-01-11,2.71,2.55,0.9409594095940959,0.7401781254514955,1
2019-01-14,2.71,2.53,0.9335793357933578,0.7410452841230823,1
2019-01-15,2.72,2.53,0.9301470588235293,0.741897244907396,1
2019-01-16,2.73,2.55,0.934065934065934,0.7427610849300343,1
2019-01-17,2.75,2.56,0.9309090909090909,0.7436063741862327,1
2019-01-18,2.79,2.62,0.9390681003584229,0.7444723646379616,1
2019-01-22,2.74,2.58,0.9416058394160584,0.7453878343813098,1
2019-01-23,2.76,2.58,0.9347826086956522,0.7462947439970414,1
2019-01-24,2.72,2.56,0.9411764705882353,0.7471973398531976,1
2019-01-25,2.76,2.6,0.9420289855072465,0.7481090658084019,1
2019-01-28,2.75,2.6,0.9454545454545454,0.7490358314730161,1
2019-01-29,2.72,2.56,0.9411764705882353,0.7499382647354778,1
2019-01-30,2.7,2.52,0.9333333333333332,0.7508250117234295,1
2019-01-31,2.63,2.45,0.9315589353612168,0.7517167010227235,1
2019-02-01,2.7,2.52,0.9333333333333332,0.7525994967216482,1
2019-02-04,2.73,2.53,0.9267399267399267,0.7534771701235151,1
2019-02-05,2.71,2.53,0.9335793357933578,0.754372441244901,1
2019-02-06,2.7,2.52,0.9333333333333332,0.7552804302256172,1
2019-02-07,2.65,2.48,0.9358490566037736,0.7561854616721582,1
2019-02-08,2.63,2.45,0.9315589353612168,0.7570656735599747,1
2019-02-11,2.65,2.48,0.9358490566037736,0.7579373716731822,1
2019-02-12,2.68,2.5,0.9328358208955223,0.7588071926925666,1
2019-02-13,2.71,2.53,0.9335793357933578,0.7596866970431656,1
2019-02-14,2.66,2.5,0.9398496240601504,0.7605542505422981,1
2019-02-15,2.66,2.52,0.9473684210526315,0.7614370351931683,1
2019-02-19,2.65,2.5,0.9433962264150944,0.7623279092786517,1
2019-02-20,2.65,2.5,0.9433962264150944,0.7632147017314816,1
2019-02-21,2.69,2.53,0.9405204460966542,0.7640916273973376,1
2019-02-22,2.65,2.48,0.9358490566037736,0.7649550610477351,1
2019-02-25,2.67,2.51,0.9400749063670412,0.7658436142218138,1
2019-02-26,2.64,2.48,0.9393939393939393,0.7667527051309047,1
2019-02-27,2.69,2.5,0.929368029739777,0.767594492037842,1
2019-02-28,2.73,2.52,0.9230769230769231,0.768406747578911,1
2019-03-01,2.76,2.55,0.9239130434782609,0.7692057931780627,1
2019-03-04,2.72,2.55,0.9374999999999999,0.7700205522142072,1
2019-03-05,2.72,2.55,0.9374999999999999,0.7708353112503518,1
2019-03-06,2.69,2.52,0.9368029739776952,0.7716567083629658,1
2019-03-07,2.64,2.47,0.9356060606060607,0.772480301436559,1
2019-03-08,2.62,2.45,0.935114503816794,0.7732921646854377,1
2019-03-11,2.64,2.47,0.9356060606060607,0.7741095306528036,1
2019-03-12,2.61,2.45,0.938697318007663,0.7749326617229275,1
2019-03-13,2.61,2.45,0.938697318007663,0.7757413540688665,1
2019-03-14,2.63,2.46,0.935361216730038,0.7765351534254035,1
2019-03-15,2.59,2.43,0.9382239382239383,0.7773518403456761,1
2019-03-18,2.6,2.45,0.9423076923076923,0.778169262054402,1
2019-03-19,2.61,2.46,0.942528735632184,0.7789903195256664,1
2019-03-20,2.54,2.4,0.9448818897637795,0.7798274517262467,1
2019-03-21,2.54,2.41,0.9488188976377954,0.7806798220318103,1
2019-03-22,2.44,2.31,0.9467213114754098,0.7815149313214279,1
2019-03-25,2.43,2.26,0.9300411522633744,0.7823293704724277,1
2019-03-26,2.41,2.24,0.9294605809128631,0.7831382916342533,1
2019-03-27,2.39,2.22,0.9288702928870293,0.7839288053292711,1
2019-03-28,2.39,2.23,0.9330543933054393,0.7847205339505927,1
2019-03-29,2.41,2.27,0.941908713692946,0.7855499580725394,1
2019-04-01,2.49,2.33,0.9357429718875502,0.7863635927766449,1
2019-04-02,2.48,2.3,0.9274193548387096,0.787160098152989,1
2019-04-03,2.52,2.33,0.9246031746031746,0.7879539853532592,1
2019-04-04,2.51,2.33,0.9282868525896415,0.7887512370245402,1
2019-04-05,2.5,2.35,0.9400000000000001,0.789571407964711,1
2019-04-08,2.52,2.36,0.9365079365079364,0.790384594777898,1
2019-04-09,2.51,2.35,0.9362549800796814,0.791173071124612,1
2019-04-10,2.48,2.31,0.9314516129032259,0.7919473667554816,1
2019-04-11,2.51,2.35,0.9362549800796814,0.7927509111983997,1
2019-04-12,2.56,2.4,0.9375,0.793538191900154,1
2019-04-15,2.55,2.4,0.9411764705882353,0.7943401876984733,1
2019-04-16,2.6,2.41,0.926923076923077,0.7951232373921425,1
2019-04-17,2.59,2.4,0.9266409266409267,0.795893950438085,1
2019-04-18,2.57,2.38,0.9260700389105059,0.7966691674389829,1
2019-04-22,2.59,2.38,0.918918918918919,0.7974266481339636,1
